YEAR,STATE_ABBR,STATE,PRODUCER,SOURCE,GENERATION
1990,AL,Alabama,Total Electric Power Industry,Total,79652
1990,AL,Alabama,Total Electric Power Industry,Coal,53658
1990,AL,Alabama,Total Electric Power Industry,Hydro,10367
1990,AL,Alabama,Total Electric Power Industry,Natural Gas,1021
1990,AL,Alabama,Total Electric Power Industry,Nuclear,12052
1990,AL,Alabama,Total Electric Power Industry,Biomass,48
1990,AL,Alabama,Total Electric Power Industry,Other Gases,269
1990,AL,Alabama,Total Electric Power Industry,Petroleum,138
1990,AL,Alabama,Total Electric Power Industry,Wood,2100
1991,AL,Alabama,Total Electric Power Industry,Total,88787
1991,AL,Alabama,Total Electric Power Industry,Coal,58223
1991,AL,Alabama,Total Electric Power Industry,Hydro,10758
1991,AL,Alabama,Total Electric Power Industry,Natural Gas,1223
1991,AL,Alabama,Total Electric Power Industry,Nuclear,15875
1991,AL,Alabama,Total Electric Power Industry,Biomass,31
1991,AL,Alabama,Total Electric Power Industry,Other Gases,293
1991,AL,Alabama,Total Electric Power Industry,Petroleum,168
1991,AL,Alabama,Total Electric Power Industry,Wood,2217
1992,AL,Alabama,Total Electric Power Industry,Total,95234
1992,AL,Alabama,Total Electric Power Industry,Coal,61161
1992,AL,Alabama,Total Electric Power Industry,Hydro,10260
1992,AL,Alabama,Total Electric Power Industry,Natural Gas,1396
1992,AL,Alabama,Total Electric Power Industry,Nuclear,19397
1992,AL,Alabama,Total Electric Power Industry,Biomass,29
1992,AL,Alabama,Total Electric Power Industry,Other Gases,329
1992,AL,Alabama,Total Electric Power Industry,Petroleum,195
1992,AL,Alabama,Total Electric Power Industry,Wood,2468
1993,AL,Alabama,Total Electric Power Industry,Total,99337
1993,AL,Alabama,Total Electric Power Industry,Coal,67336
1993,AL,Alabama,Total Electric Power Industry,Hydro,9034
1993,AL,Alabama,Total Electric Power Industry,Natural Gas,1261
1993,AL,Alabama,Total Electric Power Industry,Nuclear,17823
1993,AL,Alabama,Total Electric Power Industry,Biomass,2
1993,AL,Alabama,Total Electric Power Industry,Other Gases,338
1993,AL,Alabama,Total Electric Power Industry,Petroleum,193
1993,AL,Alabama,Total Electric Power Industry,Wood,3349
1994,AL,Alabama,Total Electric Power Industry,Total,100764
1994,AL,Alabama,Total Electric Power Industry,Coal,63304
1994,AL,Alabama,Total Electric Power Industry,Hydro,11429
1994,AL,Alabama,Total Electric Power Industry,Natural Gas,1248
1994,AL,Alabama,Total Electric Power Industry,Nuclear,20480
